AtletaID,ClubeID
36540,285
36540,262
36612,275
36612,284
37604,293
37607,275
37607,276
37608,284
37623,267
37644,303
37646,314
37652,316
37652,293
37652,263
37653,277
37653,285
37655,316
37655,282
37655,285
37656,283
37657,275
37657,264
37657,277
37662,293
37673,294
37673,275
37673,262
37674,267
37674,266
37688,266
37688,276
37688,277
37694,283
37701,344
37701,284
37701,262
37705,314
37705,294
37705,287
37718,277
37718,275
37770,284
37792,294
37792,284
37798,283
37798,266
37840,293
37840,314
37851,276
37851,282
37919,267
37919,276
37934,282
37984,303
37984,277
38001,265
38021,303
38021,292
38062,276
38067,264
38100,292
38109,263
38138,264
38138,282
38140,275
38150,314
38162,282
38162,266
38196,284
38196,276
38225,267
38229,282
38229,264
38230,293
38246,282
38246,277
38277,283
38279,315
38279,294
38279,285
38279,303
38287,263
38311,262
38315,264
38394,293
38394,316
38400,314
38421,283
38431,266
38440,282
38440,266
38508,267
38509,262
38523,284
38523,263
38523,264
38530,287
38545,275
38617,287
38648,276
38748,314
38768,267
38852,294
38908,277
38909,262
38910,277
38913,267
38928,263
38957,283
39572,266
40179,294
40179,284
41218,292
42116,275
42116,283
42140,282
42145,275
42145,283
42213,303
42222,292
42222,266
42222,276
42232,294
42232,275
42232,315
42234,264
42330,266
42330,373
42499,276
42499,266
42500,264
42501,284
42501,262
49673,266
49674,293
49674,283
49674,285
49674,275
50284,287
50284,294
50294,282
50294,264
50294,293
50301,262
50307,282
50313,315
50317,277
50324,276
50324,283
50328,275
50328,284
50348,266
50348,262
50362,263
50362,283
50362,275
50362,266
50369,287
50402,277
50407,266
50408,267
50421,275
50421,276
50421,292
50427,287
50427,293
50427,303
50459,283
50645,293
50645,265
50856,266
50880,294
51042,315
51299,263
51318,282
51318,277
51319,303
51413,264
51415,373
51415,287
51700,294
51705,283
51705,284
51772,283
51772,262
51792,287
51905,287
52253,282
52253,285
52253,262
52618,264
52618,267
52674,263
52950,282
53669,303
53865,303
54395,264
54395,282
54797,315
55348,263
55348,276
55594,303
56102,294
56102,293
56102,264
60784,282
60787,314
60788,287
60788,283
60788,292
60788,285
60819,283
60859,284
60969,292
60969,282
60969,287
61033,284
61033,264
61149,264
61149,303
61188,276
61985,263
62009,315
62009,263
62024,276
62047,275
62047,266
62069,265
62086,262
62086,284
62104,294
62104,283
62104,275
62121,277
62121,294
62128,266
62128,293
62128,373
62129,285
62129,267
62129,276
62130,266
62130,275
62130,294
62974,277
62974,294
62974,316
62974,284
62997,314
63000,315
63013,282
63058,283
63058,287
63110,285
63110,315
63119,275
63119,316
63119,287
63128,315
63128,276
63158,275
63172,285
63172,267
63177,373
63219,282
63422,276
68690,292
68690,282
68690,264
68693,265
68698,263
68698,315
68725,315
68744,303
68744,263
68744,264
68744,262
68745,277
68749,373
68758,262
68758,284
68758,282
68770,264
68773,265
68773,284
68773,294
68784,314
68807,277
68807,294
68807,282
68808,303
68808,314
68808,287
68821,265
68821,284
68821,283
68821,293
68827,266
68834,292
68873,262
68873,284
68884,373
68884,266
68886,283
68887,266
68893,287
68895,266
68896,267
68901,263
68910,292
68911,292
68920,284
68920,275
68925,282
68928,283
68929,282
68929,277
68930,287
68930,265
68932,276
68938,264
68938,282
68938,316
68950,292
68953,277
68953,283
68953,262
68954,277
68954,264
68954,275
68958,262
68958,287
68958,284
68979,282
68995,263
68995,265
69010,303
69012,293
69014,283
69016,373
69018,293
69036,373
69047,316
69047,264
69047,292
69095,263
69138,293
69138,316
69160,284
69165,264
69177,293
69177,262
69177,294
69177,285
69249,267
69282,284
69705,293
70009,262
70046,277
70046,294
70058,294
70058,287
70116,284
70116,264
70132,294
70132,277
70173,262
70222,276
70581,287
70581,282
70666,303
70742,315
70916,283
70916,263
70929,262
70929,264
70929,294
70929,303
70929,284
70944,264
70944,275
70986,277
70987,282
71066,262
71116,315
71123,276
71162,265
71227,276
71389,294
71479,293
71549,267
71571,287
71631,293
71704,267
